Area name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Aged 90 years and over,Con,Lab,LibDem,Green,Other,Vacant,Majority
Dartford,0.071061644,0.071061644,0.068493151,0.053082192,0.047945205,0.067636986,0.084760274,0.082191781,0.075342466,0.066780822,0.065924658,0.060787671,0.047945205,0.036815068,0.035958904,0.025684932,0.019691781,0.011986301,0.018835616,0.69047619,0.166666667,0,0,0.142857143,0,CON
Derby,0.058148432,0.064651875,0.06503443,0.062739097,0.071155318,0.070390207,0.070007651,0.069625096,0.063121653,0.062739097,0.065799541,0.061973986,0.050879878,0.043228768,0.042463657,0.030986993,0.023718439,0.014919663,0.023335884,0.333333333,0.31372549,0.137254902,0,0.176470588,0.039215686,NOC
Derbyshire,0.048200352,0.054241128,0.056254719,0.049207148,0.047822804,0.058394161,0.060785301,0.058268311,0.057009816,0.065441732,0.078278379,0.077774981,0.067203624,0.058771709,0.061162849,0.045557513,0.02919708,0.01711553,0.026302542,0.65625,0.234375,0.0625,0.015625,0.03125,0,CON
Derbyshire Dales,0.036363636,0.046153846,0.053146853,0.048951049,0.039160839,0.041958042,0.043356643,0.044755245,0.051748252,0.065734266,0.082517483,0.088111888,0.07972028,0.071328671,0.076923077,0.057342657,0.037762238,0.022377622,0.034965035,0.487179487,0.102564103,0.179487179,0.051282051,0.153846154,0.025641026,CON
Devon,0.043494332,0.050887137,0.053228191,0.055322819,0.054460325,0.050147856,0.053967472,0.053474618,0.052735338,0.058896008,0.070478068,0.075036964,0.069738788,0.064440611,0.069862001,0.052612124,0.035115821,0.022178413,0.035978314,0.633333333,0.116666667,0.15,0.033333333,0.066666667,0,CON
Doncaster,0.054852321,0.05874716,0.06037001,0.052255761,0.052580331,0.065563129,0.071080818,0.065238559,0.05842259,0.06069458,0.070756248,0.071405388,0.063615709,0.053554041,0.052904901,0.037325544,0.026290166,0.016228497,0.024018176,0.2,0.727272727,0,0,0.072727273,0,LAB
Dorset,0.039515279,0.047945205,0.053477345,0.050316122,0.040305585,0.044257113,0.048208641,0.048208641,0.049525817,0.057165437,0.070864067,0.078503688,0.075869336,0.071127503,0.080084299,0.06032666,0.041622761,0.026080084,0.042676502,0.524390244,0.012195122,0.329268293,0.06097561,0.073170732,0,CON
Dover,0.048969072,0.055841924,0.058419244,0.051546392,0.046391753,0.056701031,0.059278351,0.056701031,0.054123711,0.057560137,0.069587629,0.075601375,0.069587629,0.063573883,0.066151203,0.048969072,0.031786942,0.018900344,0.029209622,0.625,0.3125,0,0,0.03125,0.03125,CON
Dudley,0.05625966,0.061205564,0.059659969,0.055023184,0.052550232,0.063060278,0.066151468,0.06244204,0.058423493,0.062132921,0.072642968,0.06862442,0.057496136,0.051931994,0.052550232,0.042658423,0.029984544,0.017928903,0.026893354,0.625,0.361111111,0,0,0.013888889,0,CON
Durham,0.047500479,0.05439571,0.056502586,0.059758667,0.063397817,0.055927983,0.058800996,0.058609462,0.055927983,0.060524804,0.072591458,0.075656005,0.0672285,0.059375599,0.058800996,0.041562919,0.028921663,0.016280406,0.024516376,0.174603175,0.436507937,0.134920635,0.007936508,0.238095238,0.007936508,NOC
Ealing,0.058567148,0.060473985,0.06428766,0.059384364,0.061563607,0.078725143,0.083900844,0.083900844,0.080904386,0.07191501,0.067284119,0.059656769,0.04794334,0.037047126,0.031054209,0.021792427,0.01634432,0.009806592,0.014982294,0.071428571,0.842857143,0.085714286,0,0,0,LAB
East Cambridgeshire,0.051311288,0.060433295,0.062713797,0.050171038,0.041049031,0.05359179,0.062713797,0.06613455,0.0672748,0.070695553,0.074116306,0.070695553,0.060433295,0.05359179,0.057012543,0.041049031,0.028506271,0.017103763,0.027366021,0.571428571,0,0.321428571,0,0.107142857,0,CON
East Devon,0.043103448,0.051061008,0.051061008,0.047082228,0.041114058,0.045755968,0.049071618,0.050397878,0.051061008,0.058355438,0.069628647,0.072281167,0.070291777,0.068302387,0.078912467,0.062334218,0.043766578,0.027851459,0.046419098,0.35,0.016666667,0.116666667,0.033333333,0.466666667,0.016666667,NOC
East Hampshire,0.047732697,0.055688146,0.059665871,0.054097056,0.042959427,0.049323787,0.054097056,0.055688146,0.059665871,0.066825776,0.076372315,0.07875895,0.069212411,0.058074781,0.061256961,0.046937152,0.032617343,0.020684169,0.032617343,0.720930233,0,0.186046512,0.023255814,0.069767442,0,CON
East Hertfordshire,0.055296469,0.059293804,0.065289807,0.054630247,0.046635576,0.059293804,0.063957362,0.064623584,0.067288474,0.073284477,0.075949367,0.073284477,0.059293804,0.047301799,0.049966689,0.034643571,0.024650233,0.016655563,0.025316456,0.8,0.04,0.12,0.04,0,0,CON
East Lindsey,0.039353479,0.045678145,0.05130007,0.044975404,0.041461701,0.046380885,0.048489108,0.044272663,0.044272663,0.054111033,0.07167955,0.082220661,0.080815179,0.078004216,0.085734364,0.064652143,0.04075896,0.022487702,0.035137034,0.563636364,0.109090909,0.018181818,0,0.309090909,0,CON
East Riding of Yorkshire,0.042957335,0.050847458,0.053769725,0.049094097,0.042080655,0.049094097,0.052600818,0.052600818,0.052600818,0.062828755,0.074810053,0.079193454,0.072764465,0.067504383,0.074225599,0.052308591,0.0371128,0.021624781,0.033313852,0.626865672,0,0.194029851,0,0.179104478,0,CON
East Staffordshire,0.056451613,0.060483871,0.061290323,0.05483871,0.052419355,0.065322581,0.07016129,0.065322581,0.061290323,0.063709677,0.072580645,0.07016129,0.061290323,0.05,0.05,0.037903226,0.025,0.015322581,0.023387097,0.58974359,0.282051282,0.025641026,0,0.102564103,0,CON
East Suffolk,0.043106954,0.050833672,0.055307035,0.049613664,0.043513623,0.048393656,0.051240342,0.050020333,0.051240342,0.059780399,0.07157381,0.076047174,0.07157381,0.067507117,0.076047174,0.056933713,0.038226922,0.024400163,0.03904026,0.709090909,0.127272727,0.054545455,0.090909091,0.018181818,0,CON
East Sussex,0.045804324,0.052583364,0.056064492,0.050567974,0.044521803,0.048735801,0.054049102,0.053133016,0.05423232,0.061377794,0.073103701,0.076218395,0.068706486,0.063393184,0.070538659,0.052766581,0.036277025,0.023268597,0.038109198,0.54,0.1,0.22,0.08,0.06,0,CON
Eastbourne,0.046214356,0.054080629,0.057030482,0.052114061,0.051130777,0.055063913,0.059980334,0.058013766,0.058013766,0.060963618,0.067846608,0.069813176,0.062930187,0.057030482,0.063913471,0.048180924,0.036381514,0.02359882,0.040314651,0.259259259,0,0.592592593,0,0.111111111,0.037037037,LD
Eastleigh,0.055718475,0.062316716,0.061583578,0.05058651,0.046920821,0.06085044,0.069648094,0.068181818,0.065982405,0.064516129,0.069648094,0.068181818,0.059384164,0.051319648,0.052052786,0.037390029,0.027859238,0.01686217,0.0271261,0.025641026,0,0.871794872,0,0.102564103,0,LD
Elmbridge,0.060518732,0.071325648,0.071325648,0.053314121,0.036743516,0.043227666,0.054034582,0.066282421,0.080691643,0.081412104,0.076368876,0.069884726,0.055475504,0.045389049,0.045389049,0.033861671,0.025216138,0.017291066,0.028818444,0.3125,0,0.270833333,0,0.416666667,0,NOC
Enfield,0.064545455,0.069090909,0.073030303,0.064545455,0.057878788,0.064242424,0.07,0.072727273,0.074545455,0.068787879,0.068787879,0.063939394,0.051818182,0.038787879,0.033939394,0.024848485,0.01969697,0.012424242,0.019393939,0.396825397,0.603174603,0,0,0,0,LAB
Epping Forest,0.058518519,0.057037037,0.058518519,0.051851852,0.05037037,0.056296296,0.065925926,0.066666667,0.067407407,0.065925926,0.074074074,0.073333333,0.06,0.04962963,0.051851852,0.038518519,0.026666667,0.017037037,0.028148148,0.586206897,0,0.068965517,0.034482759,0.293103448,0.017241379,CON
Epsom and Ewell,0.056860321,0.065512979,0.066749073,0.056860321,0.049443758,0.049443758,0.059332509,0.069221261,0.076637824,0.075401731,0.071693449,0.067985167,0.054388133,0.044499382,0.048207664,0.035846724,0.025957973,0.016069221,0.025957973,0.026315789,0.078947368,0.052631579,0,0.815789474,0.026315789,IND
Erewash,0.048715678,0.056687334,0.055801594,0.050487157,0.050487157,0.062001771,0.067316209,0.062001771,0.058458813,0.06554473,0.077945084,0.075287865,0.062001771,0.054030115,0.056687334,0.0425155,0.028343667,0.017714792,0.026572188,0.553191489,0.319148936,0.021276596,0,0.106382979,0,CON
Essex,0.055278388,0.059203087,0.06000133,0.053016697,0.051952371,0.058870485,0.064724273,0.063460387,0.06193042,0.06412559,0.071708907,0.069646777,0.05993481,0.051885851,0.056741835,0.04137564,0.028337657,0.017694406,0.027805495,0.68,0.053333333,0.106666667,0.013333333,0.133333333,0.013333333,CON
Exeter,0.045107034,0.047400612,0.046636086,0.090214067,0.125382263,0.068807339,0.068807339,0.064984709,0.056574924,0.055810398,0.059633028,0.056574924,0.048929664,0.04204893,0.043577982,0.032110092,0.023700306,0.01529052,0.025229358,0.128205128,0.641025641,0.051282051,0.128205128,0.051282051,0,LAB
Fareham,0.045414847,0.054148472,0.055895197,0.048908297,0.045414847,0.048908297,0.058515284,0.057641921,0.056768559,0.062882096,0.073362445,0.07860262,0.068995633,0.057641921,0.064628821,0.050655022,0.03580786,0.023580786,0.036681223,0.806451613,0,0.129032258,0,0.064516129,0,CON
Fenland,0.050731707,0.056585366,0.054634146,0.048780488,0.049756098,0.060487805,0.063414634,0.060487805,0.055609756,0.060487805,0.072195122,0.073170732,0.064390244,0.060487805,0.061463415,0.045853659,0.031219512,0.018536585,0.029268293,0.666666667,0,0.051282051,0.025641026,0.256410256,0,CON
Folkestone and Hythe,0.046448087,0.052823315,0.056466302,0.047358834,0.047358834,0.052823315,0.056466302,0.053734062,0.056466302,0.061020036,0.072859745,0.076502732,0.069216758,0.06284153,0.071038251,0.051001821,0.033697632,0.02003643,0.031876138,0.333333333,0.166666667,0.1,0.2,0.2,0,NOC
Forest of Dean,0.045977011,0.051724138,0.052873563,0.05862069,0.045977011,0.050574713,0.055172414,0.051724138,0.049425287,0.059770115,0.075862069,0.08045977,0.071264368,0.066666667,0.068965517,0.051724138,0.033333333,0.018390805,0.028735632,0.157894737,0.078947368,0.052631579,0.184210526,0.526315789,0,NOC
Fylde,0.040540541,0.047911548,0.05036855,0.045454545,0.039312039,0.046683047,0.052825553,0.055282555,0.051597052,0.058968059,0.073710074,0.082309582,0.077395577,0.068796069,0.073710074,0.057739558,0.039312039,0.024570025,0.039312039,0.607843137,0,0.019607843,0,0.333333333,0.039215686,CON
Gateshead,0.051504335,0.056603774,0.057623661,0.051504335,0.052524222,0.064762876,0.066802652,0.066292708,0.060683325,0.061703213,0.070882203,0.072412035,0.063742988,0.054054054,0.054563998,0.037735849,0.03008669,0.017848037,0.026517083,0,0.772727273,0.227272727,0,0,0,LAB
Gedling,0.051150895,0.0571185,0.057971014,0.04859335,0.045183291,0.058823529,0.064791134,0.063938619,0.062233589,0.063938619,0.074168798,0.073316283,0.063086104,0.056265985,0.058823529,0.041773231,0.030690537,0.018755328,0.028132992,0.170731707,0.682926829,0.073170732,0,0.048780488,0.024390244,LAB
Gloucester,0.056603774,0.062641509,0.061886792,0.058113208,0.064150943,0.067169811,0.073962264,0.069433962,0.063396226,0.061886792,0.069433962,0.067924528,0.057358491,0.044528302,0.043018868,0.033962264,0.022641509,0.014339623,0.022641509,0.564102564,0.076923077,0.282051282,0,0.051282051,0.025641026,CON
Gloucestershire,0.050069757,0.056115331,0.057975508,0.053635095,0.051929933,0.056890405,0.06231592,0.061230817,0.059215625,0.063246008,0.072391877,0.073942024,0.064176097,0.056115331,0.057820493,0.043404123,0.030072857,0.018601767,0.029452798,0.509433962,0.094339623,0.301886792,0.075471698,0.018867925,0,CON
Gosport,0.051282051,0.057387057,0.05982906,0.051282051,0.051282051,0.05982906,0.063492063,0.062271062,0.057387057,0.061050061,0.070818071,0.073260073,0.065934066,0.054945055,0.058608059,0.042735043,0.028083028,0.018315018,0.029304029,0.357142857,0.071428571,0.571428571,0,0,0,LD
Gravesham,0.061739944,0.066417212,0.066417212,0.057998129,0.053320861,0.06080449,0.071094481,0.070159027,0.064546305,0.063610851,0.070159027,0.067352666,0.053320861,0.044901777,0.045837231,0.033676333,0.024321796,0.015902713,0.023386342,0.477272727,0.5,0,0,0.022727273,0,NOC
Great Yarmouth,0.0501002,0.054108216,0.057114228,0.051102204,0.0501002,0.057114228,0.06012024,0.056112224,0.053106212,0.06012024,0.071142285,0.074148297,0.066132265,0.062124248,0.066132265,0.0501002,0.032064128,0.019038076,0.03006012,0.538461538,0.358974359,0,0,0.102564103,0,CON
Greenwich,0.065721204,0.065029402,0.062953995,0.05499827,0.063645797,0.085437565,0.096506399,0.089242477,0.079557247,0.06779661,0.065721204,0.055690073,0.043237634,0.0321688,0.027672086,0.01937046,0.013144241,0.007955725,0.012106538,0.054545455,0.945454545,0,0,0,0,LAB
Guildford,0.046657382,0.054317549,0.057799443,0.075208914,0.091922006,0.059888579,0.059888579,0.060584958,0.063370474,0.066852368,0.067548747,0.067548747,0.054317549,0.044568245,0.045961003,0.033426184,0.024373259,0.016016713,0.026462396,0.166666667,0.041666667,0.354166667,0,0.4375,0,NOC
Hackney,0.0625,0.058641975,0.05941358,0.054398148,0.071759259,0.121527778,0.123070988,0.091049383,0.071759259,0.059799383,0.05632716,0.051697531,0.038966049,0.027006173,0.021219136,0.013117284,0.009259259,0.005401235,0.008487654,0.087719298,0.877192982,0,0.035087719,0,0,LAB
Halton,0.054602184,0.061622465,0.063182527,0.055382215,0.05226209,0.061622465,0.066302652,0.066302652,0.062402496,0.06474259,0.070982839,0.070982839,0.063962559,0.056162246,0.055382215,0.033541342,0.022620905,0.012480499,0.018720749,0.055555556,0.888888889,0.055555556,0,0,0,LAB
Hammersmith and Fulham,0.049672489,0.048034934,0.049126638,0.044759825,0.09279476,0.127729258,0.105895197,0.080786026,0.069868996,0.066593886,0.064956332,0.055676856,0.040393013,0.031113537,0.027292576,0.019104803,0.013646288,0.007641921,0.012008734,0.2,0.8,0,0,0,0,LAB
Hampshire,0.050899486,0.057824101,0.058609366,0.052398629,0.048115363,0.055539692,0.062392918,0.061750428,0.061179326,0.064891491,0.072601371,0.073458024,0.063320959,0.054040548,0.058109652,0.043760708,0.030553969,0.0192747,0.030625357,0.717948718,0.038461538,0.217948718,0,0.025641026,0,CON
Harborough,0.048155738,0.055327869,0.06045082,0.055327869,0.044057377,0.051229508,0.056352459,0.058401639,0.06045082,0.068647541,0.078893443,0.076844262,0.06557377,0.056352459,0.06045082,0.045081967,0.030737705,0.018442623,0.028688525,0.647058824,0.029411765,0.323529412,0,0,0,CON
Haringey,0.056396669,0.055639667,0.059046177,0.055261166,0.062074186,0.090840273,0.098031794,0.089326268,0.07986374,0.072672218,0.07002271,0.060938683,0.045041635,0.0333081,0.026873581,0.018546556,0.014004542,0.007948524,0.012112036,0,0.842105263,0.122807018,0,0.01754386,0.01754386,LAB
Harlow,0.067524116,0.07073955,0.067524116,0.054662379,0.052518757,0.068595927,0.082529475,0.080385852,0.069667738,0.060021436,0.064308682,0.062165059,0.053590568,0.042872454,0.036441586,0.025723473,0.019292605,0.012861736,0.020364416,0.606060606,0.393939394,0,0,0,0,CON
Harrow,0.060084194,0.061615002,0.063145809,0.057787983,0.057787983,0.070799847,0.078453884,0.080750096,0.076157673,0.065059319,0.062763108,0.058936089,0.053195561,0.044010716,0.037887486,0.028319939,0.021814007,0.013777268,0.021814007,0.563636364,0.436363636,0,0,0,0,CON
Hart,0.052313883,0.063380282,0.064386318,0.057344064,0.044265594,0.051307847,0.058350101,0.063380282,0.067404427,0.07444668,0.075452716,0.072434608,0.058350101,0.047283702,0.052313883,0.041247485,0.02917505,0.017102616,0.027162978,0.303030303,0.03030303,0.333333333,0,0.333333333,0,NOC
Hartlepool,0.054171181,0.060671723,0.063921993,0.056338028,0.055254605,0.059588299,0.063921993,0.059588299,0.055254605,0.058504875,0.071505959,0.076923077,0.068255688,0.057421452,0.055254605,0.034669556,0.02708559,0.016251354,0.02383532,0.388888889,0.361111111,0,0,0.25,0,NOC
Hastings,0.052689352,0.057080132,0.058177827,0.051591658,0.049396268,0.059275521,0.06586169,0.062568606,0.060373216,0.064763996,0.076838639,0.075740944,0.063666301,0.057080132,0.055982437,0.038419319,0.025246981,0.015367728,0.025246981,0.375,0.46875,0,0.15625,0,0,NOC
Havant,0.049114332,0.055555556,0.056360709,0.049919485,0.047504026,0.054750403,0.060386473,0.057165862,0.052334944,0.057165862,0.070853462,0.074879227,0.070048309,0.060386473,0.063607085,0.049114332,0.034621578,0.022544283,0.035426731,0.868421053,0.052631579,0,0,0.026315789,0.052631579,CON
Havering,0.062977099,0.064503817,0.061068702,0.054961832,0.053816794,0.064503817,0.073664122,0.073282443,0.066412214,0.061832061,0.066412214,0.064885496,0.05648855,0.045419847,0.046183206,0.033206107,0.02480916,0.016793893,0.026717557,0.418181818,0.163636364,0,0,0.418181818,0,NOC
Herefordshire,0.044895778,0.050774987,0.053981828,0.048637092,0.043826831,0.05130946,0.056119722,0.055050775,0.052378407,0.059861037,0.072688402,0.078033137,0.072688402,0.066809193,0.069481561,0.051843934,0.035809727,0.021913415,0.03474078,0.264150943,0.018867925,0.113207547,0.132075472,0.471698113,0,NOC
Hertfordshire,0.058558559,0.063813814,0.065482149,0.055388722,0.051384718,0.059893227,0.067817818,0.070653987,0.071571572,0.070236904,0.071154488,0.068151485,0.055472139,0.044377711,0.044377711,0.032449116,0.023857191,0.016016016,0.025358692,0.58974359,0.08974359,0.294871795,0.012820513,0.012820513,0,CON
Hertsmere,0.058441558,0.064007421,0.065862709,0.056586271,0.050092764,0.057513915,0.063079777,0.070500928,0.072356215,0.069573284,0.070500928,0.069573284,0.055658627,0.045454545,0.046382189,0.03432282,0.025046382,0.016697588,0.02690167,0.743589744,0.179487179,0.076923077,0,0,0,CON
High Peak,0.04730473,0.052805281,0.057205721,0.04840484,0.04620462,0.052805281,0.059405941,0.058305831,0.057205721,0.064906491,0.081408141,0.083608361,0.073707371,0.060506051,0.061606161,0.0440044,0.02860286,0.01540154,0.02420242,0.372093023,0.441860465,0.069767442,0.046511628,0.023255814,0.046511628,NOC
Hillingdon,0.065053939,0.067015364,0.065380843,0.060804184,0.064727035,0.067996077,0.077476299,0.08139915,0.076822491,0.066361556,0.065053939,0.059169663,0.048708728,0.038247793,0.034324943,0.024190912,0.018960445,0.01242236,0.019287349,0.566037736,0.433962264,0,0,0,0,CON
Hinckley and Bosworth,0.050176056,0.056338028,0.05721831,0.049295775,0.044014085,0.058098592,0.063380282,0.0625,0.058978873,0.065140845,0.074823944,0.072183099,0.064260563,0.058098592,0.063380282,0.045774648,0.029929577,0.016725352,0.026408451,0.264705882,0.058823529,0.617647059,0,0.058823529,0,LD
Horsham,0.050408719,0.054495913,0.061307902,0.052452316,0.042234332,0.051771117,0.057220708,0.058583106,0.061307902,0.065395095,0.07493188,0.076975477,0.066076294,0.05653951,0.060626703,0.045640327,0.032016349,0.020435967,0.033378747,0.625,0,0.270833333,0.0625,0.041666667,0,CON
Hounslow,0.06315059,0.066273421,0.064885496,0.056210965,0.058292852,0.072172103,0.086398334,0.089868147,0.083969466,0.072519084,0.065579459,0.056904927,0.046148508,0.036780014,0.030881332,0.021165857,0.015267176,0.009021513,0.013879251,0.161290323,0.822580645,0,0,0,0.016129032,LAB
Huntingdonshire,0.053650442,0.058628319,0.057522124,0.048672566,0.047013274,0.059181416,0.067477876,0.066924779,0.064159292,0.067477876,0.073561947,0.072455752,0.061946903,0.053097345,0.056415929,0.041482301,0.02710177,0.014933628,0.023783186,0.403846154,0.076923077,0.211538462,0.019230769,0.288461538,0,NOC
Hyndburn,0.059610706,0.064476886,0.064476886,0.060827251,0.054744526,0.065693431,0.069343066,0.063260341,0.057177616,0.062043796,0.071776156,0.066909976,0.058394161,0.0486618,0.051094891,0.03649635,0.0243309,0.013381995,0.020681265,0.428571429,0.371428571,0,0.057142857,0.142857143,0,NOC
Ipswich,0.059413028,0.064423765,0.062992126,0.057981389,0.057265569,0.070866142,0.077308518,0.073013601,0.067287044,0.063707946,0.065855404,0.061560487,0.052970651,0.045096636,0.042949177,0.030780243,0.022190408,0.015032212,0.024337867,0.229166667,0.666666667,0.0625,0,0.041666667,0,LAB
Isle of Wight,0.03988604,0.049145299,0.050569801,0.045584046,0.042022792,0.047720798,0.051282051,0.049145299,0.04985755,0.056267806,0.073361823,0.079059829,0.074786325,0.074786325,0.07977208,0.061965812,0.038461538,0.023504274,0.037749288,0.435897436,0.025641026,0.051282051,0.051282051,0.435897436,0,NOC
Islington,0.051708218,0.046168052,0.045706371,0.049399815,0.085410896,0.132963989,0.126038781,0.087719298,0.068328717,0.058171745,0.059556787,0.054478301,0.040627886,0.029547553,0.024930748,0.016620499,0.012003693,0.006925208,0.010618652,0,0.941176471,0,0.058823529,0,0,LAB
Kensington and Chelsea,0.043235704,0.044630404,0.045327755,0.046722455,0.085076709,0.091352859,0.084379358,0.073919107,0.066945607,0.071129707,0.077405858,0.072524407,0.054393305,0.041143654,0.038354254,0.027894003,0.019525802,0.010460251,0.017433752,0.7,0.26,0.04,0,0,0,CON
Kent,0.055389886,0.060465706,0.062305691,0.056024364,0.052915424,0.05754711,0.063828437,0.063130512,0.061925005,0.064272572,0.070871138,0.069602183,0.059133304,0.051709917,0.055643677,0.040670008,0.02791701,0.016877102,0.026648055,0.740740741,0.086419753,0.074074074,0.061728395,0.024691358,0.012345679,CON
Kingston upon Thames,0.057142857,0.0625,0.063095238,0.055952381,0.066666667,0.06547619,0.073214286,0.077380952,0.080357143,0.075595238,0.069047619,0.060714286,0.048809524,0.039880952,0.039285714,0.026785714,0.019047619,0.011309524,0.019047619,0.0625,0,0.895833333,0,0.041666667,0,LD
Kirklees,0.05815832,0.063697207,0.066005077,0.062081699,0.059543042,0.061158551,0.065543503,0.064851142,0.06277406,0.064851142,0.071313178,0.066005077,0.056542811,0.048465267,0.049388414,0.034387261,0.023771059,0.013616432,0.021232402,0.260869565,0.507246377,0.115942029,0.043478261,0.057971014,0.014492754,LAB
Knowsley,0.062783172,0.061488673,0.059546926,0.054368932,0.05566343,0.068608414,0.075728155,0.066666667,0.055016181,0.056957929,0.069255663,0.075728155,0.067961165,0.053074434,0.044660194,0.028478964,0.022653722,0.014239482,0.020711974,0,0.711111111,0.066666667,0.111111111,0.111111111,0,LAB
Lambeth,0.048173804,0.046914358,0.048803526,0.046914358,0.084382872,0.142632242,0.115239295,0.083123426,0.070528967,0.064231738,0.064546599,0.057304786,0.041561713,0.028337531,0.021725441,0.014483627,0.011335013,0.006297229,0.010075567,0,0.920634921,0.047619048,0.031746032,0,0,LAB
Lancashire,0.051566421,0.057475917,0.059418765,0.059499717,0.059014005,0.057475917,0.062333037,0.060713997,0.057152109,0.061442565,0.071075852,0.072047276,0.06330446,0.054723549,0.057394965,0.041285518,0.028333198,0.016595159,0.025742735,0.571428571,0.380952381,0.023809524,0.023809524,0,0,CON
Lancaster,0.046885934,0.051784465,0.053184045,0.074877537,0.089573128,0.055983205,0.058082575,0.058782365,0.053883835,0.055283415,0.066480056,0.068579426,0.061581526,0.053883835,0.055983205,0.039888034,0.027991603,0.017494752,0.027291812,0.15,0.266666667,0.066666667,0.25,0.233333333,0.033333333,NOC
Leeds,0.057635468,0.061083744,0.059359606,0.063793103,0.08682266,0.074630542,0.074630542,0.069704433,0.063669951,0.06046798,0.062561576,0.059359606,0.050123153,0.041502463,0.042241379,0.02955665,0.021674877,0.013669951,0.021182266,0.212121212,0.565656566,0.070707071,0.04040404,0.101010101,0.01010101,LAB
Leicester,0.060499186,0.067281606,0.06945198,0.076776994,0.097938144,0.074064026,0.07460662,0.074064026,0.067010309,0.06104178,0.059413999,0.052902876,0.046934346,0.037981552,0.030656538,0.019804666,0.014921324,0.009224091,0.014650027,0.037037037,0.851851852,0.018518519,0,0.092592593,0,LAB
Leicestershire,0.050540503,0.056156114,0.057419627,0.059385091,0.057840797,0.057138846,0.062333287,0.061912116,0.059525481,0.06401797,0.073002948,0.070897094,0.061912116,0.05433104,0.057138846,0.041976695,0.028078057,0.017127615,0.026393374,0.763636364,0.072727273,0.163636364,0,0,0,CON
Lewes,0.045045045,0.053053053,0.058058058,0.052052052,0.041041041,0.043043043,0.052052052,0.054054054,0.056056056,0.063063063,0.074074074,0.075075075,0.068068068,0.064064064,0.07007007,0.053053053,0.037037037,0.025025025,0.041041041,0.43902439,0.097560976,0.219512195,0.195121951,0.048780488,0,NOC
Lewisham,0.063539587,0.060545576,0.058549568,0.052228876,0.062541583,0.091816367,0.102461743,0.091483699,0.078842315,0.069194943,0.066533599,0.061876248,0.04491018,0.02994012,0.023619428,0.016966068,0.012974052,0.007651364,0.011976048,0,1,0,0,0,0,LAB
Lichfield,0.04887218,0.053571429,0.054511278,0.05075188,0.047932331,0.056390977,0.057330827,0.056390977,0.057330827,0.064849624,0.07612782,0.07424812,0.062969925,0.058270677,0.064849624,0.054511278,0.034774436,0.017857143,0.027255639,0.638297872,0.234042553,0.021276596,0,0.085106383,0.021276596,CON
Lincoln,0.049085659,0.051973051,0.051010587,0.084696824,0.130895091,0.076034649,0.074109721,0.062560154,0.055822907,0.053897979,0.057747834,0.057747834,0.048123195,0.03946102,0.038498556,0.026948989,0.019249278,0.012512031,0.020211742,0.272727273,0.666666667,0.060606061,0,0,0,LAB
Lincolnshire,0.046590318,0.053617907,0.055700156,0.053878188,0.056480999,0.055830297,0.059083811,0.056220718,0.05426861,0.060775638,0.071577303,0.074570536,0.066631963,0.060124935,0.064679854,0.048412285,0.032144716,0.018610099,0.029021343,0.771428571,0.057142857,0.042857143,0,0.128571429,0,CON
Liverpool,0.054309813,0.05492697,0.051841185,0.069738737,0.101419461,0.078378934,0.076733182,0.068092985,0.057189879,0.054721251,0.060069944,0.063155729,0.056572722,0.046081053,0.041143798,0.027360625,0.020571899,0.011931701,0.017691833,0,0.633333333,0.122222222,0.044444444,0.177777778,0.022222222,LAB
Luton,0.071016423,0.074123391,0.074123391,0.067021749,0.069241012,0.073235686,0.079449623,0.078561917,0.073235686,0.062583222,0.061251664,0.055037727,0.044385264,0.034620506,0.028406569,0.021304927,0.017310253,0.010652463,0.015978695,0.041666667,0.645833333,0.3125,0,0,0,LAB
Maidstone,0.059158134,0.062002275,0.059158134,0.050625711,0.050625711,0.06370876,0.069397042,0.068259386,0.064277588,0.066552901,0.071672355,0.067690557,0.056313993,0.048350398,0.052901024,0.03811149,0.026166098,0.01592719,0.025028441,0.509090909,0.090909091,0.218181818,0.018181818,0.163636364,0,CON
Maldon,0.046827795,0.051359517,0.054380665,0.051359517,0.046827795,0.049848943,0.051359517,0.051359517,0.052870091,0.063444109,0.080060423,0.078549849,0.072507553,0.063444109,0.070996979,0.051359517,0.033232628,0.019637462,0.03021148,0.451612903,0,0.032258065,0,0.516129032,0,NOC
Malvern Hills,0.039042821,0.049118388,0.055415617,0.052896725,0.041561713,0.044080605,0.046599496,0.046599496,0.05163728,0.060453401,0.075566751,0.08186398,0.075566751,0.068010076,0.075566751,0.056675063,0.040302267,0.025188917,0.039042821,0.315789474,0.026315789,0.105263158,0.131578947,0.421052632,0,NOC
Manchester,0.062318841,0.066304348,0.06576087,0.076811594,0.112137681,0.095289855,0.086956522,0.076268116,0.064855072,0.05634058,0.055072464,0.048369565,0.039130435,0.029891304,0.025,0.016666667,0.012137681,0.006884058,0.010688406,0,0.947916667,0.020833333,0.03125,0,0,LAB
